,userID,count,mean,std,min,25%,50%,75%,max
89,461,2.0,461.0,0.0,461.0,461.0,461.0,461.0,461.0
90,489,62.0,489.0,0.0,489.0,489.0,489.0,489.0,489.0
91,513,46.0,513.0,0.0,513.0,513.0,513.0,513.0,513.0
92,515,174.0,515.0,0.0,515.0,515.0,515.0,515.0,515.0
93,516,11.0,516.0,0.0,516.0,516.0,516.0,516.0,516.0
94,519,4.0,519.0,0.0,519.0,519.0,519.0,519.0,519.0
95,525,1.0,525.0,,525.0,525.0,525.0,525.0,525.0
96,533,4.0,533.0,0.0,533.0,533.0,533.0,533.0,533.0
97,541,1.0,541.0,,541.0,541.0,541.0,541.0,541.0
98,543,1.0,543.0,,543.0,543.0,543.0,543.0,543.0
99,556,87.0,556.0,0.0,556.0,556.0,556.0,556.0,556.0
100,558,256.0,558.0,0.0,558.0,558.0,558.0,558.0,558.0
101,559,173.0,559.0,0.0,559.0,559.0,559.0,559.0,559.0
102,560,291.0,560.0,0.0,560.0,560.0,560.0,560.0,560.0
103,562,445.0,562.0,0.0,562.0,562.0,562.0,562.0,562.0
104,563,29.0,563.0,0.0,563.0,563.0,563.0,563.0,563.0
105,564,91.0,564.0,0.0,564.0,564.0,564.0,564.0,564.0
106,565,32.0,565.0,0.0,565.0,565.0,565.0,565.0,565.0
107,566,70.0,566.0,0.0,566.0,566.0,566.0,566.0,566.0
108,567,285.0,567.0,0.0,567.0,567.0,567.0,567.0,567.0
109,569,232.0,569.0,0.0,569.0,569.0,569.0,569.0,569.0
110,579,49.0,579.0,0.0,579.0,579.0,579.0,579.0,579.0
111,588,1.0,588.0,,588.0,588.0,588.0,588.0,588.0
112,593,12.0,593.0,0.0,593.0,593.0,593.0,593.0,593.0
113,609,165.0,609.0,0.0,609.0,609.0,609.0,609.0,609.0
114,620,130.0,620.0,0.0,620.0,620.0,620.0,620.0,620.0
115,627,8.0,627.0,0.0,627.0,627.0,627.0,627.0,627.0
116,629,22.0,629.0,0.0,629.0,629.0,629.0,629.0,629.0
117,630,13.0,630.0,0.0,630.0,630.0,630.0,630.0,630.0
118,632,94.0,632.0,0.0,632.0,632.0,632.0,632.0,632.0
119,634,39.0,634.0,0.0,634.0,634.0,634.0,634.0,634.0
120,637,66.0,637.0,0.0,637.0,637.0,637.0,637.0,637.0
121,639,4.0,639.0,0.0,639.0,639.0,639.0,639.0,639.0
122,667,15.0,667.0,0.0,667.0,667.0,667.0,667.0,667.0
123,668,204.0,668.0,0.0,668.0,668.0,668.0,668.0,668.0
124,669,18.0,669.0,0.0,669.0,669.0,669.0,669.0,669.0
125,671,43.0,671.0,0.0,671.0,671.0,671.0,671.0,671.0
126,674,22.0,674.0,0.0,674.0,674.0,674.0,674.0,674.0
127,675,55.0,675.0,0.0,675.0,675.0,675.0,675.0,675.0
128,676,134.0,676.0,0.0,676.0,676.0,676.0,676.0,676.0
129,677,47.0,677.0,0.0,677.0,677.0,677.0,677.0,677.0
130,686,23.0,686.0,0.0,686.0,686.0,686.0,686.0,686.0
131,697,116.0,697.0,0.0,697.0,697.0,697.0,697.0,697.0
132,698,1.0,698.0,,698.0,698.0,698.0,698.0,698.0
133,710,87.0,710.0,0.0,710.0,710.0,710.0,710.0,710.0
134,712,252.0,712.0,0.0,712.0,712.0,712.0,712.0,712.0
135,714,235.0,714.0,0.0,714.0,714.0,714.0,714.0,714.0
136,724,10.0,724.0,0.0,724.0,724.0,724.0,724.0,724.0
137,734,22.0,734.0,0.0,734.0,734.0,734.0,734.0,734.0
138,743,596.0,743.0,0.0,743.0,743.0,743.0,743.0,743.0
139,744,9.0,744.0,0.0,744.0,744.0,744.0,744.0,744.0
140,751,60.0,751.0,0.0,751.0,751.0,751.0,751.0,751.0
141,752,17.0,752.0,0.0,752.0,752.0,752.0,752.0,752.0
142,754,123.0,754.0,0.0,754.0,754.0,754.0,754.0,754.0
143,755,18.0,755.0,0.0,755.0,755.0,755.0,755.0,755.0
144,774,45.0,774.0,0.0,774.0,774.0,774.0,774.0,774.0
145,777,91.0,777.0,0.0,777.0,777.0,777.0,777.0,777.0
146,781,24.0,781.0,0.0,781.0,781.0,781.0,781.0,781.0
147,798,41.0,798.0,0.0,798.0,798.0,798.0,798.0,798.0
148,818,102.0,818.0,0.0,818.0,818.0,818.0,818.0,818.0
149,828,1.0,828.0,,828.0,828.0,828.0,828.0,828.0
150,832,138.0,832.0,0.0,832.0,832.0,832.0,832.0,832.0
151,838,377.0,838.0,0.0,838.0,838.0,838.0,838.0,838.0
152,850,67.0,850.0,0.0,850.0,850.0,850.0,850.0,850.0
153,858,181.0,858.0,0.0,858.0,858.0,858.0,858.0,858.0
154,859,1.0,859.0,,859.0,859.0,859.0,859.0,859.0
155,867,22.0,867.0,0.0,867.0,867.0,867.0,867.0,867.0
156,869,2.0,869.0,0.0,869.0,869.0,869.0,869.0,869.0
157,875,6.0,875.0,0.0,875.0,875.0,875.0,875.0,875.0
158,883,8.0,883.0,0.0,883.0,883.0,883.0,883.0,883.0
159,891,309.0,891.0,0.0,891.0,891.0,891.0,891.0,891.0
160,915,6.0,915.0,0.0,915.0,915.0,915.0,915.0,915.0
