,userID,userID,userID,userID,userID,userID,userID,userID,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested,kWhRequested
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
userID,,,,,,,,,,,,,,,,
290,56.0,290.0,0.0,290.0,290.0,290.0,290.0,290.0,56.0,32.33821428571428,9.079565489632165,18.83,26.9,32.14,34.97,56.0
291,119.0,291.0,0.0,291.0,291.0,291.0,291.0,291.0,119.0,27.53361344537815,10.887080489190968,2.5,20.0,30.0,33.5,50.0
292,63.0,292.0,0.0,292.0,292.0,292.0,292.0,292.0,63.0,50.355555555555554,10.355764761681446,4.0,48.0,52.0,56.0,60.0
295,1.0,295.0,,295.0,295.0,295.0,295.0,295.0,1.0,24.0,,24.0,24.0,24.0,24.0,24.0
297,24.0,297.0,0.0,297.0,297.0,297.0,297.0,297.0,24.0,11.833333333333334,6.294695259168398,4.0,8.0,8.0,17.0,20.0
300,118.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,118.0,31.036186440677966,8.123194807430913,3.64,32.0,32.0,36.0,40.04
301,16.0,301.0,0.0,301.0,301.0,301.0,301.0,301.0,16.0,33.95375000000001,4.531939798070284,28.0,29.7575,33.3,37.309999999999995,40.04
303,18.0,303.0,0.0,303.0,303.0,303.0,303.0,303.0,18.0,18.055555555555557,14.937013727146645,3.0,12.0,12.0,20.0,72.0
311,24.0,311.0,0.0,311.0,311.0,311.0,311.0,311.0,24.0,21.770833333333332,13.102421919054796,5.0,10.0,24.0,28.0,52.5
313,16.0,313.0,0.0,313.0,313.0,313.0,313.0,313.0,16.0,55.15812500000001,11.54491993259373,33.3,46.62,59.94,59.94,80.0
315,4.0,315.0,0.0,315.0,315.0,315.0,315.0,315.0,4.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0
316,4.0,316.0,0.0,316.0,316.0,316.0,316.0,316.0,4.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0
324,259.0,324.0,0.0,324.0,324.0,324.0,324.0,324.0,259.0,9.003088803088824,2.213828919390908,4.0,8.0,8.0,12.0,12.0
325,7.0,325.0,0.0,325.0,325.0,325.0,325.0,325.0,7.0,49.142857142857146,38.48561883538911,8.0,8.0,80.0,80.0,80.0
329,1.0,329.0,,329.0,329.0,329.0,329.0,329.0,1.0,34.6,,34.6,34.6,34.6,34.6,34.6
335,2.0,335.0,0.0,335.0,335.0,335.0,335.0,335.0,2.0,17.5,7.0710678118654755,12.5,15.0,17.5,20.0,22.5
336,6.0,336.0,0.0,336.0,336.0,336.0,336.0,336.0,6.0,13.14,4.428399259326106,5.84,11.68,13.14,16.79,17.52
340,14.0,340.0,0.0,340.0,340.0,340.0,340.0,340.0,14.0,45.60142857142858,8.894201963719318,20.97,41.3575,46.6,51.26,55.92
342,39.0,342.0,0.0,342.0,342.0,342.0,342.0,342.0,39.0,76.42307692307692,14.541473564989742,5.0,75.0,75.0,81.0,90.0
346,2.0,346.0,0.0,346.0,346.0,346.0,346.0,346.0,2.0,14.0,2.8284271247461903,12.0,13.0,14.0,15.0,16.0
347,9.0,347.0,0.0,347.0,347.0,347.0,347.0,347.0,9.0,11.11111111111111,1.7638342073763935,8.0,12.0,12.0,12.0,12.0
350,1.0,350.0,,350.0,350.0,350.0,350.0,350.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
358,17.0,358.0,0.0,358.0,358.0,358.0,358.0,358.0,17.0,21.176470588235293,6.287241983947004,8.0,24.0,24.0,24.0,24.0
362,10.0,362.0,0.0,362.0,362.0,362.0,362.0,362.0,10.0,28.136000000000003,7.519378224885945,14.3,24.435,25.74,34.32,40.0
364,23.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0,23.0,29.130434782608695,12.987071710765031,8.0,22.0,26.0,40.0,60.0
365,96.0,365.0,0.0,365.0,365.0,365.0,365.0,365.0,96.0,8.394375000000005,2.365998537393328,3.33,6.66,9.99,9.99,9.99
369,1.0,369.0,,369.0,369.0,369.0,369.0,369.0,1.0,18.75,,18.75,18.75,18.75,18.75,18.75
372,2.0,372.0,0.0,372.0,372.0,372.0,372.0,372.0,2.0,15.39,4.794183976444793,12.0,13.695,15.39,17.085,18.78
376,12.0,376.0,0.0,376.0,376.0,376.0,376.0,376.0,12.0,9.185833333333333,0.6897490760260487,8.0,9.0,9.0,9.75,9.99
379,1.0,379.0,,379.0,379.0,379.0,379.0,379.0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
393,1.0,393.0,,393.0,393.0,393.0,393.0,393.0,1.0,38.22,,38.22,38.22,38.22,38.22,38.22
394,1.0,394.0,,394.0,394.0,394.0,394.0,394.0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
396,3.0,396.0,0.0,396.0,396.0,396.0,396.0,396.0,3.0,75.0,0.0,75.0,75.0,75.0,75.0,75.0
400,4.0,400.0,0.0,400.0,400.0,400.0,400.0,400.0,4.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
412,1.0,412.0,,412.0,412.0,412.0,412.0,412.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
419,1.0,419.0,,419.0,419.0,419.0,419.0,419.0,1.0,40.0,,40.0,40.0,40.0,40.0,40.0
420,8.0,420.0,0.0,420.0,420.0,420.0,420.0,420.0,8.0,20.84,3.8375140762887483,16.0,19.005,20.0,24.0,26.7
